DrugBank_ID,Name,SMILES,CAS_Number
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00157,NADH,,
DB00171,ATP,,
DB00360,Sapropterin,,
DB00997,Doxorubicin,,
DB02577,Mesoheme,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00131,Adenosine phosphate,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00171,ATP,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00822,Disulfiram,,
DB00898,Ethanol,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB02577,Mesoheme,,
DB03147,Flavin adenine dinucleotide,,
DB03166,Acetic acid,,
DB03205,Pyrroloquinoline Quinone,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB01593,Zinc,,
DB01942,Formic acid,,
DB02385,D-threo-neopterin,,
DB03896,Triphosphoric acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB01593,Zinc,,
DB01942,Formic acid,,
DB02385,D-threo-neopterin,,
DB03896,Triphosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB01593,Zinc,,
DB01942,Formic acid,,
DB02385,D-threo-neopterin,,
DB03896,Triphosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB01593,Zinc,,
DB01942,Formic acid,,
DB02385,D-threo-neopterin,,
DB03896,Triphosphoric acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB01593,Zinc,,
DB01942,Formic acid,,
DB02385,D-threo-neopterin,,
DB03896,Triphosphoric acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB01593,Zinc,,
DB01942,Formic acid,,
DB02385,D-threo-neopterin,,
DB03896,Triphosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00125,Arginine,,
DB00155,Citrulline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB01373,Calcium,,
DB02577,Mesoheme,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB00361,Vinorelbine,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,71486-22-1
DB00171,ATP,,
DB00361,Vinorelbine,,
DB02577,Mesoheme,,
DB00362,Anidulafungin,[H][C@]1(NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,166663-25-8
DB00363,Clozapine,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,5786-21-0
DB00364,Sucralfate,O.O[Al](O)O.O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O,54182-58-0
DB00365,Grepafloxacin,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,119914-60-2
DB00366,Doxylamine,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,469-21-6
DB00366,Doxylamine,,
DB01373,Calcium,,
DB00367,Levonorgestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],797-63-7
DB00368,Norepinephrine,NC[C@H](O)C1=CC(O)=C(O)C=C1,51-41-2
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00135,Tyrosine,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01592,Iron,,
DB03205,Pyrroloquinoline Quinone,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01086,Benzocaine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00297,Bupivacaine,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00157,NADH,,
DB00171,ATP,,
DB00281,Lidocaine,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB02577,Mesoheme,,
DB03843,Formaldehyde,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00807,Proparacaine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00157,NADH,,
DB00171,ATP,,
DB00295,Morphine,,
DB00318,Codeine,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB02577,Mesoheme,,
DB03435,Uridine-5'-Diphosphate,,
DB03843,Formaldehyde,,
DB00171,ATP,,
DB00327,Hydromorphone,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00813,Fentanyl,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00708,Sufentanil,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB01433,Methadyl acetate,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB01444,Dimethylthiambutene,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB01565,Dihydromorphine,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB06738,Ketobemidone,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00892,Oxybuprocaine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00295,Morphine,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB03435,Uridine-5'-Diphosphate,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00956,Hydrocodone,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01192,Oxymorphone,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00899,Remifentanil,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00157,NADH,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00472,Fluoxetine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB02577,Mesoheme,,
DB03843,Formaldehyde,,
DB06731,Seproxetine,,
DB00157,NADH,,
DB00171,ATP,,
DB00184,Nicotine,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB02577,Mesoheme,,
DB03147,Flavin adenine dinucleotide,,
DB03435,Uridine-5'-Diphosphate,,
DB03843,Formaldehyde,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00135,Tyrosine,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01592,Iron,,
DB03205,Pyrroloquinoline Quinone,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00647,Dextropropoxyphene,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00913,Anileridine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
DB01373,Calcium,,
DB00171,ATP,,
DB00368,Norepinephrine,,
DB00988,Dopamine,,
DB01345,Potassium cation,,
